Ensembl,logFC,FDR,SYMBOL
ENSG00000241404,-0.20504964,0.473379277,EGFL8
ENSG00000146648,-0.243999484,0.077575899,EGFR
ENSG00000135766,0.114158708,0.468425266,EGLN1
ENSG00000269858,-0.313232438,0.011301857,EGLN2
ENSG00000129521,1.064505819,2.75E-05,EGLN3
ENSG00000120738,0.982835734,0.007182371,EGR1
ENSG00000122877,1.018641022,0.071090212,EGR2
ENSG00000179388,-3.245271365,1.55E-19,EGR3
ENSG00000115504,-0.633146488,6.67E-06,EHBP1
ENSG00000173442,-0.588201873,0.009067038,EHBP1L1
ENSG00000110047,-0.285405625,0.012794685,EHD1
ENSG00000024422,1.553620418,8.13E-09,EHD2
ENSG00000013016,0.607288405,4.02E-07,EHD3
ENSG00000103966,0.849797865,0.000115008,EHD4
ENSG00000113790,-0.208919252,0.231479317,EHHADH
ENSG00000181090,-0.588961878,2.52E-07,EHMT1
ENSG00000204371,-0.230626053,0.028465288,EHMT2
ENSG00000149547,0.06231867,0.618643696,EI24
ENSG00000255302,0.152839518,0.245927656,EID1
ENSG00000176396,-0.316429571,0.019586883,EID2
ENSG00000176401,-0.13442668,0.408158076,EID2B
ENSG00000255150,-0.504490656,0.053845298,EID3
ENSG00000173812,-0.358319755,0.035195977,EIF1
ENSG00000175376,-0.167818199,0.217894837,EIF1AD
ENSG00000173674,-0.280215987,0.011793634,EIF1AX
ENSG00000198692,0.432663152,0.001386011,EIF1AY
ENSG00000114784,-0.466504915,0.002640408,EIF1B
ENSG00000144895,-0.12035016,0.343802316,EIF2A
ENSG00000086232,-0.014693433,0.90605084,EIF2AK1
ENSG00000055332,0.710091131,4.72E-11,EIF2AK2
ENSG00000172071,0.149126631,0.19664643,EIF2AK3
ENSG00000128829,0.262384801,0.03172191,EIF2AK4
ENSG00000111361,-0.155495894,0.199480461,EIF2B1
ENSG00000119718,0.296679998,0.010226449,EIF2B2
ENSG00000070785,0.078341809,0.570805946,EIF2B3
ENSG00000115211,-0.267812622,0.02350094,EIF2B4
ENSG00000145191,-0.260318419,0.014227769,EIF2B5
ENSG00000143486,0.517974038,1.27E-05,EIF2D
ENSG00000134001,0.102766431,0.356337012,EIF2S1
ENSG00000125977,0.598030976,9.56E-09,EIF2S2
ENSG00000130741,0.347498875,0.002696658,EIF2S3
ENSG00000180574,0.493609702,0.005416313,EIF2S3B
ENSG00000107581,-0.097071158,0.459513581,EIF3A
ENSG00000106263,0.265472211,0.013567849,EIF3B
ENSG00000184110,-0.636714176,0.001335609,EIF3C
ENSG00000205609,-0.970148362,0.002390791,EIF3CL
ENSG00000100353,0.48355538,1.51E-05,EIF3D
ENSG00000104408,0.50952714,0.000331369,EIF3E
ENSG00000175390,0.148120439,0.218686518,EIF3F
ENSG00000130811,0.466737196,7.56E-05,EIF3G
ENSG00000147677,-0.159327972,0.181843656,EIF3H
ENSG00000084623,0.355439602,0.008883857,EIF3I
ENSG00000104131,-0.203299346,0.175327366,EIF3J
ENSG00000178982,-0.06958282,0.583735799,EIF3K
ENSG00000100129,-0.039367789,0.806387515,EIF3L
ENSG00000149100,0.300737511,0.00877936,EIF3M
ENSG00000161960,-0.396541181,0.028767819,EIF4A1
ENSG00000156976,0.010410782,0.943720997,EIF4A2
ENSG00000141543,0.119984629,0.401527511,EIF4A3
ENSG00000063046,0.312811207,0.021405836,EIF4B
ENSG00000151247,-0.259529249,0.019957454,EIF4E
ENSG00000135930,-0.027364568,0.821489394,EIF4E2
ENSG00000163412,-0.825225095,7.88E-09,EIF4E3
ENSG00000187840,0.318821486,0.015272468,EIF4EBP1
ENSG00000148730,-0.425753186,0.000333302,EIF4EBP2
ENSG00000184708,-0.469833117,0.001490585,EIF4ENIF1
ENSG00000114867,0.099908825,0.503570301,EIF4G1
ENSG00000110321,-0.110170812,0.397126626,EIF4G2
ENSG00000075151,0.240722448,0.039765149,EIF4G3
ENSG00000106682,0.198757019,0.102697195,EIF4H
ENSG00000100664,-0.236414982,0.041464374,EIF5
ENSG00000132507,-0.025041073,0.876623557,EIF5A
ENSG00000163577,0.589042176,0.000213897,EIF5A2
ENSG00000158417,-0.622406964,0.00588357,EIF5B
ENSG00000242372,0.219190707,0.106554054,EIF6
ENSG00000032389,0.370513133,0.002304859,EIPR1
ENSG00000141642,0.056719391,0.753302752,ELAC1
ENSG00000006744,0.3519385,0.004523618,ELAC2
ENSG00000066044,-0.439424692,0.001005722,ELAVL1
ENSG00000107105,0.013199575,0.943774079,ELAVL2
ENSG00000196361,-1.242580256,4.11E-08,ELAVL3
ENSG00000162374,-2.124163221,1.01E-17,ELAVL4
ENSG00000120690,1.044703564,5.58E-12,ELF1
ENSG00000109381,-0.086093189,0.53828699,ELF2
ENSG00000225968,0.3917037,0.016989933,ELFN1
ENSG00000166897,-2.136992777,8.18E-28,ELFN2
ENSG00000126767,-0.335855995,0.002675313,ELK1
ENSG00000111145,1.80490912,7.26E-23,ELK3
ENSG00000158711,0.035508325,0.813815867,ELK4
ENSG00000105656,-0.071765024,0.684890414,ELL
ENSG00000118985,2.061544933,1.41E-36,ELL2
ENSG00000155849,-1.322243899,1.85E-13,ELMO1
ENSG00000062598,-0.236033646,0.040342842,ELMO2
ENSG00000102890,-0.12517917,0.62708216,ELMO3
ENSG00000110675,1.620175291,4.60E-49,ELMOD1
ENSG00000179387,0.199795181,0.098624485,ELMOD2
ENSG00000115459,0.19235944,0.128807869,ELMOD3
ENSG00000156030,0.253961141,0.048154616,ELMSAN1
ENSG00000049540,1.655182041,5.70E-19,ELN
ENSG00000011007,-0.103882637,0.342340199,ELOA
ENSG00000103363,0.294689473,0.029753893,ELOB
ENSG00000154582,-0.002948068,0.981821949,ELOC
ENSG00000130165,0.388734852,0.001896991,ELOF1
ENSG00000066322,0.618590843,0.001018067,ELOVL1
ENSG00000197977,-1.168753283,7.90E-18,ELOVL2
ENSG00000118402,-0.044946341,0.733755594,ELOVL4
ENSG00000012660,0.114098138,0.464798523,ELOVL5
ENSG00000170522,-1.205618041,1.55E-10,ELOVL6
ENSG00000164181,-0.582195736,0.033697612,ELOVL7
ENSG00000070061,-0.233546065,0.039138268,ELP1
ENSG00000134759,-0.212142546,0.118745004,ELP2
ENSG00000134014,0.46997162,1.47E-05,ELP3
ENSG00000109911,0.042695591,0.762995278,ELP4
ENSG00000170291,-0.435498022,0.000224622,ELP5
ENSG00000163832,-0.01133982,0.935799127,ELP6
ENSG00000170571,-0.327274816,0.163895768,EMB
ENSG00000127463,0.333043473,0.00462478,EMC1
ENSG00000161671,0.329630806,0.031093219,EMC10
ENSG00000104412,0.586350077,1.32E-08,EMC2
ENSG00000125037,0.474299082,0.000176141,EMC3
ENSG00000128463,0.131633552,0.291465436,EMC4
ENSG00000127774,0.095106741,0.606438516,EMC6
ENSG00000134153,0.223845991,0.221234689,EMC7
ENSG00000131148,0.227639285,0.085874295,EMC8
ENSG00000100908,-0.618513868,0.000114423,EMC9
ENSG00000102119,0.113595383,0.420773168,EMD
ENSG00000154920,-0.29769818,0.069596492,EME1
ENSG00000197774,-0.296299969,0.017314664,EME2
ENSG00000126749,0.210211053,0.085941534,EMG1
ENSG00000186998,1.73513566,3.27E-21,EMID1
ENSG00000138080,-0.143864325,0.619776452,EMILIN1
ENSG00000183798,-1.449038929,2.41E-13,EMILIN3
ENSG00000066629,-0.977200061,4.79E-11,EML1
ENSG00000125746,-0.209603288,0.19354149,EML2
ENSG00000149499,0.775549453,0.000109783,EML3
ENSG00000143924,0.074926752,0.52005197,EML4
ENSG00000165521,-0.494306602,0.038283993,EML5
ENSG00000214595,-0.777123336,1.28E-08,EML6
ENSG00000134531,4.223787575,3.18E-31,EMP1
ENSG00000213853,0.799551425,4.40E-07,EMP2
ENSG00000142227,1.679689605,2.25E-16,EMP3
ENSG00000158636,-0.744323532,2.55E-07,EMSY
ENSG00000170370,-2.899013534,2.44E-88,EMX2
ENSG00000163064,3.210665771,2.60E-35,EN1
ENSG00000164778,3.953748067,5.56E-47,EN2
ENSG00000154380,0.41197882,0.000328194,ENAH
ENSG00000171617,-0.434828748,0.000116079,ENC1
ENSG00000149218,0.3418217,0.022466696,ENDOD1
ENSG00000167136,-0.273235463,0.11569563,ENDOG
ENSG00000173818,-0.029235242,0.823611303,ENDOV
ENSG00000167280,-0.026039155,0.872829108,ENGASE
ENSG00000168913,-0.372485199,0.002286006,ENHO
ENSG00000124074,0.764606534,3.81E-07,ENKD1
ENSG00000151023,1.593755052,8.48E-27,ENKUR
ENSG00000074800,0.98749845,2.88E-12,ENO1
ENSG00000111674,-0.84840618,1.61E-09,ENO2
ENSG00000108515,0.218549325,0.276982597,ENO3
ENSG00000188316,0.713107113,0.001090131,ENO4
ENSG00000145293,0.235102693,0.064268112,ENOPH1
ENSG00000132199,0.547370791,0.000284691,ENOSF1
ENSG00000120658,-0.678260713,1.78E-06,ENOX1
ENSG00000165675,-0.729814362,6.12E-08,ENOX2
ENSG00000197594,1.199432343,2.09E-10,ENPP1
ENSG00000136960,0.876799103,2.68E-10,ENPP2
ENSG00000154269,1.220088228,1.45E-05,ENPP3
ENSG00000001561,0.722583036,4.33E-08,ENPP4
ENSG00000112796,3.196252993,1.83E-70,ENPP5
ENSG00000143420,-0.08538061,0.469374344,ENSA
ENSG00000138185,0.598773272,0.004482568,ENTPD1
ENSG00000168032,-0.837435492,0.000821214,ENTPD3
ENSG00000197217,-0.31246849,0.007334704,ENTPD4
ENSG00000187097,0.782786522,3.06E-08,ENTPD5
ENSG00000197586,-0.016686924,0.895806461,ENTPD6
ENSG00000198018,0.162648079,0.219409793,ENTPD7
ENSG00000165689,0.310176041,0.009646384,ENTR1
ENSG00000120533,-0.374065045,0.000697309,ENY2
ENSG00000163378,0.317799779,0.071024327,EOGT
ENSG00000163508,-8.353522341,5.11E-206,EOMES
ENSG00000100393,-0.399303237,0.00547421,EP300
ENSG00000183495,-0.452720564,0.017282235,EP400
ENSG00000116016,2.060814394,1.64E-08,EPAS1
ENSG00000159023,-0.367652163,0.022685223,EPB41
ENSG00000088367,-0.663329434,4.25E-07,EPB41L1
ENSG00000079819,-0.142748727,0.390102276,EPB41L2
ENSG00000082397,1.543465764,5.43E-24,EPB41L3
ENSG00000129595,0.739532393,9.34E-05,EPB41L4A
ENSG00000095203,-0.18942771,0.19928458,EPB41L4B
ENSG00000115109,-0.162180697,0.199666618,EPB41L5
ENSG00000120616,-0.719406014,5.67E-08,EPC1
ENSG00000135999,-0.359858832,0.001795336,EPC2
ENSG00000119888,-2.253324121,3.68E-24,EPCAM
ENSG00000086289,1.06297484,1.47E-12,EPDR1
ENSG00000152223,-0.284886814,0.009785409,EPG5
ENSG00000183317,-0.884371833,0.000196943,EPHA10
ENSG00000142627,0.307288698,0.179456125,EPHA2
ENSG00000044524,-3.475269221,1.26E-17,EPHA3
ENSG00000116106,-1.279284663,1.19E-07,EPHA4
ENSG00000145242,-1.388282018,0.000302709,EPHA5
ENSG00000080224,-2.438708881,3.92E-19,EPHA6
ENSG00000135333,-0.334459136,0.360155402,EPHA7
ENSG00000070886,-2.092233274,3.03E-13,EPHA8
ENSG00000154928,-1.282462364,6.30E-07,EPHB1
ENSG00000133216,0.052566788,0.794644665,EPHB2
ENSG00000182580,-0.753336273,0.001154664,EPHB3
ENSG00000196411,0.939170777,5.07E-13,EPHB4
ENSG00000106123,-0.354124166,0.182875634,EPHB6
ENSG00000143819,0.364387322,0.035296453,EPHX1
ENSG00000120915,0.489741586,0.002861083,EPHX2
ENSG00000172031,1.872295794,6.57E-11,EPHX4
ENSG00000112425,-0.356430628,0.00303815,EPM2A
ENSG00000178567,-0.180832681,0.170596867,EPM2AIP1
ENSG00000063245,-0.209223913,0.104454947,EPN1
ENSG00000072134,-0.143456635,0.18378719,EPN2
ENSG00000273604,0.035490077,0.882092715,EPOP
ENSG00000187266,0.030519525,0.890023802,EPOR
ENSG00000261150,-0.547077437,0.053984935,EPPK1
ENSG00000136628,0.195897848,0.084269825,EPRS1
ENSG00000085832,0.383932227,0.00030617,EPS15
ENSG00000127527,-0.549749275,0.001612612,EPS15L1
ENSG00000151491,0.646761941,1.29E-07,EPS8
ENSG00000131037,-0.167174319,0.480608568,EPS8L1
ENSG00000177106,-0.574615691,0.031315993,EPS8L2
ENSG00000132591,-0.20766915,0.228723568,ERAL1
ENSG00000164307,0.624259279,6.21E-06,ERAP1
ENSG00000141736,1.114886508,1.48E-24,ERBB2
ENSG00000065361,0.429203762,0.190873732,ERBB3
ENSG00000178568,0.88755193,9.83E-08,ERBB4
ENSG00000112851,0.609865389,1.59E-08,ERBIN
ENSG00000082805,-0.180581318,0.261265138,ERC1
ENSG00000187672,-0.778125475,8.90E-06,ERC2
ENSG00000012061,0.426585572,0.000287337,ERCC1
ENSG00000104884,0.231680776,0.044529697,ERCC2
ENSG00000163161,-0.326382764,0.012009373,ERCC3
ENSG00000175595,0.168651425,0.165714945,ERCC4
ENSG00000134899,-0.225325427,0.224372896,ERCC5
ENSG00000225830,-0.373030199,0.006321548,ERCC6
ENSG00000186871,-0.613154797,0.000660998,ERCC6L
ENSG00000182150,-0.483376669,8.04E-05,ERCC6L2
ENSG00000049167,-0.007575912,0.961235414,ERCC8
ENSG00000105722,0.474683522,0.00040084,ERF
ENSG00000178752,-1.365054484,1.01E-06,ERFE
ENSG00000133935,0.300749209,0.029759382,ERG28
ENSG00000113719,0.786504302,1.14E-10,ERGIC1
ENSG00000087502,-0.008132307,0.951173809,ERGIC2
ENSG00000125991,0.799703664,1.04E-09,ERGIC3
ENSG00000100632,-0.10170149,0.44482942,ERH
ENSG00000104626,0.458281585,0.000132027,ERI1
ENSG00000196678,0.030000151,0.820476369,ERI2
ENSG00000117419,0.050185213,0.674230305,ERI3
ENSG00000104714,-0.274539614,0.13069434,ERICH1
ENSG00000177459,-1.519549349,7.07E-08,ERICH5
ENSG00000068912,0.485540208,2.55E-06,ERLEC1
ENSG00000107566,-0.090454271,0.558087953,ERLIN1
ENSG00000147475,1.04281129,1.27E-16,ERLIN2
ENSG00000164010,0.149062955,0.414935263,ERMAP
ENSG00000130023,0.297414776,0.014227969,ERMARD
ENSG00000099219,-0.112764359,0.535224304,ERMP1
ENSG00000178607,0.213355395,0.153116452,ERN1
ENSG00000197930,0.080554883,0.482309395,ERO1A
ENSG00000086619,-0.114196007,0.531289657,ERO1B
ENSG00000089248,1.24363719,5.93E-23,ERP29
ENSG00000023318,0.14021303,0.22053155,ERP44
ENSG00000116285,0.237942996,0.060699406,ERRFI1
ENSG00000213462,-0.14047875,0.321445155,ERV3-1
ENSG00000142396,-0.148395989,0.309073336,ERVK3-1
ENSG00000149564,-0.700875034,0.014087194,ESAM
ENSG00000141446,0.147743115,0.217411097,ESCO1
ENSG00000171320,-0.880854573,2.43E-09,ESCO2
ENSG00000139684,0.277541229,0.007940179,ESD
ENSG00000089048,0.049506578,0.715275509,ESF1
ENSG00000135476,-1.139050319,1.77E-19,ESPL1
ENSG00000187017,4.046727849,7.32E-197,ESPN
ENSG00000173153,-0.373662797,0.011286732,ESRRA
ENSG00000119715,0.260988339,0.455014181,ESRRB
ENSG00000196482,-1.631007112,5.14E-40,ESRRG
ENSG00000100056,-0.306252879,0.008365984,ESS2
ENSG00000139641,0.722659786,1.54E-07,ESYT1
ENSG00000117868,0.208924623,0.066758089,ESYT2
ENSG00000158220,-1.079276275,0.000299866,ESYT3
ENSG00000143971,0.398844788,0.002858289,ETAA1
ENSG00000120705,0.368576913,0.000997688,ETF1
ENSG00000140374,0.372408063,0.001273841,ETFA
ENSG00000105379,-0.743195512,2.25E-06,ETFB
ENSG00000139160,0.596041118,0.000436008,ETFBKMT
ENSG00000171503,0.227704265,0.077637384,ETFDH
ENSG00000205707,0.48447977,2.57E-05,ETFRF1
ENSG00000105755,0.379942182,0.014499942,ETHE1
ENSG00000139163,-0.473281405,0.001655346,ETNK1
ENSG00000143845,0.129890796,0.286634784,ETNK2
ENSG00000134954,0.148285944,0.633509182,ETS1
ENSG00000157557,-0.585791513,0.014459,ETS2
ENSG00000006468,-1.873230885,2.03E-31,ETV1
ENSG00000117036,-0.3070549,0.029238779,ETV3
ENSG00000175832,-0.457833538,0.191182397,ETV4
ENSG00000244405,-0.414598463,0.111987765,ETV5
ENSG00000139083,0.829734929,8.58E-13,ETV6
ENSG00000142694,2.370978362,1.85E-22,EVA1B
ENSG00000166979,3.669500857,7.12E-48,EVA1C
ENSG00000072840,1.427732736,1.09E-29,EVC
ENSG00000173040,-0.185307926,0.565688554,EVC2
ENSG00000067208,0.470233307,6.92E-06,EVI5
ENSG00000142459,-0.280632222,0.013307444,EVI5L
ENSG00000196405,-1.040028511,1.27E-15,EVL
ENSG00000182944,-0.448129196,6.98E-05,EWSR1
ENSG00000081177,0.234680965,0.021782127,EXD2
ENSG00000187609,0.287074394,0.069246986,EXD3
ENSG00000174371,-0.725864163,2.50E-07,EXO1
ENSG00000164002,-1.237658201,9.81E-13,EXO5
ENSG00000090989,0.148485042,0.187179349,EXOC1
ENSG00000112685,-0.084340641,0.463451607,EXOC2
ENSG00000180104,0.052455303,0.675472179,EXOC3
ENSG00000131558,0.274218144,0.015246088,EXOC4
ENSG00000070367,-0.298136421,0.014076087,EXOC5
ENSG00000138190,-0.217064785,0.145578586,EXOC6
ENSG00000144036,-0.290565593,0.025702674,EXOC6B
ENSG00000182473,0.110663445,0.356337012,EXOC7
ENSG00000116903,-0.22209391,0.052310533,EXOC8
ENSG00000157036,-0.882457181,2.77E-10,EXOG
ENSG00000171311,0.204929344,0.106754087,EXOSC1
ENSG00000171824,-0.286969629,0.007118882,EXOSC10
ENSG00000130713,-0.242250261,0.031587157,EXOSC2
ENSG00000107371,-0.11757047,0.399318025,EXOSC3
ENSG00000178896,0.026558287,0.895215266,EXOSC4
ENSG00000077348,-0.477187687,0.007810085,EXOSC5
ENSG00000223496,-0.115374444,0.297860417,EXOSC6
ENSG00000075914,0.230579038,0.064226252,EXOSC7
ENSG00000120699,-0.231393644,0.037802198,EXOSC8
ENSG00000123737,-0.24585262,0.03686472,EXOSC9
ENSG00000110723,0.155420359,0.418742887,EXPH5
ENSG00000182197,0.17579837,0.154399639,EXT1
ENSG00000151348,0.260645856,0.03165424,EXT2
ENSG00000158008,-0.066680232,0.764768099,EXTL1
ENSG00000162694,0.552976124,5.71E-06,EXTL2
ENSG00000012232,-0.32832442,0.007533093,EXTL3
ENSG00000104313,0.124932155,0.706242736,EYA1
ENSG00000064655,-1.900457021,1.60E-13,EYA2
ENSG00000158161,0.043825634,0.728281501,EYA3
ENSG00000112319,1.943615848,4.75E-16,EYA4
ENSG00000188107,0.103200203,0.69933595,EYS
ENSG00000108799,-0.246129332,0.033105018,EZH1
ENSG00000106462,-1.052943274,1.82E-11,EZH2
ENSG00000092820,0.56863923,5.98E-05,EZR
ENSG00000158769,1.301515426,1.06E-08,F11R
ENSG00000181104,0.32862447,0.001839634,F2R
ENSG00000164251,0.226243495,0.34127377,F2RL1
ENSG00000164220,0.519004995,0.133940573,F2RL2
ENSG00000117525,-0.99932924,3.84E-11,F3
ENSG00000185010,0.597406548,0.000804558,F8
ENSG00000277203,-1.860899291,2.08E-13,F8A1
ENSG00000117480,-1.710323145,8.20E-28,FAAH
ENSG00000165591,-0.382079276,0.180315477,FAAH2
ENSG00000185504,-0.279346282,0.021087355,FAAP100
ENSG00000162585,-0.116748498,0.380941248,FAAP20
ENSG00000131944,0.393140745,0.042835164,FAAP24
ENSG00000121769,0.463170932,0.149246909,FABP3
ENSG00000164687,-0.459934399,0.015556534,FABP5
ENSG00000164434,-1.07360573,1.83E-12,FABP7
ENSG00000168040,0.40176033,0.007271141,FADD
ENSG00000149485,-0.44021971,0.000316047,FADS1
ENSG00000134824,-0.161358779,0.331198633,FADS2
ENSG00000221968,-0.046599381,0.741701504,FADS3
ENSG00000185104,-0.33521532,0.001747928,FAF1
ENSG00000113194,0.136034868,0.224506982,FAF2
ENSG00000103876,1.345002447,5.56E-15,FAH
ENSG00000180185,0.25192715,0.087379359,FAHD1
ENSG00000115042,-0.087394215,0.522034275,FAHD2A
ENSG00000144199,-0.119293337,0.512943534,FAHD2B
ENSG00000158234,-1.22639914,1.02E-06,FAIM
ENSG00000135472,-1.037949518,3.80E-11,FAIM2
ENSG00000167106,0.320535085,0.014550094,FAM102A
ENSG00000162636,-0.569227934,9.54E-07,FAM102B
ENSG00000133193,-0.101598069,0.395427777,FAM104A
ENSG00000182518,-0.188028195,0.245877894,FAM104B
ENSG00000168309,-2.594869493,3.82E-93,FAM107A
ENSG00000065809,-1.012102138,9.28E-13,FAM107B
ENSG00000125898,-2.19995783,1.38E-21,FAM110A
ENSG00000169122,-1.145964132,1.77E-16,FAM110B
ENSG00000184731,2.806952098,1.13E-28,FAM110C
ENSG00000166801,0.844607376,2.82E-10,FAM111A
ENSG00000189057,-0.53461329,0.014034971,FAM111B
ENSG00000197712,1.924475075,2.99E-43,FAM114A1
ENSG00000055147,0.579895975,7.97E-08,FAM114A2
ENSG00000121104,1.085644561,3.10E-11,FAM117A
ENSG00000138439,-0.819388233,1.91E-07,FAM117B
ENSG00000100376,0.351240639,0.002855533,FAM118A
ENSG00000197798,0.477903637,4.07E-05,FAM118B
ENSG00000048828,0.215907402,0.085101955,FAM120A
ENSG00000188938,-0.08387136,0.477123984,FAM120AOS
ENSG00000112584,-0.032571604,0.833007819,FAM120B
ENSG00000184083,-0.099664003,0.44526988,FAM120C
ENSG00000187866,-0.1017972,0.524942022,FAM122A
ENSG00000156504,0.009066472,0.962911883,FAM122B
ENSG00000156500,-0.53799299,0.003962812,FAM122C
ENSG00000150510,0.43335941,0.003411741,FAM124A
ENSG00000122591,0.958386995,2.11E-18,FAM126A
ENSG00000155744,-0.670089822,9.29E-07,FAM126B
ENSG00000175182,0.107470122,0.428409778,FAM131A
ENSG00000159784,-0.588590394,8.54E-07,FAM131B
ENSG00000185519,-2.834806485,5.47E-26,FAM131C
ENSG00000179083,-0.268472904,0.185876574,FAM133A
ENSG00000234545,-0.159419188,0.235709101,FAM133B
ENSG00000082269,0.720003895,1.60E-10,FAM135A
ENSG00000147724,-0.21112671,0.389902729,FAM135B
ENSG00000035141,-0.08188751,0.532031829,FAM136A
ENSG00000138640,-0.605872044,6.57E-06,FAM13A
ENSG00000031003,-0.521332863,8.32E-05,FAM13B
ENSG00000148541,-0.704022597,4.51E-08,FAM13C
ENSG00000109794,-0.975015844,1.48E-10,FAM149A
ENSG00000138286,0.468166242,3.37E-05,FAM149B1
ENSG00000152380,0.020933822,0.936651275,FAM151B
ENSG00000204442,-0.379547249,0.028150258,FAM155A
ENSG00000130054,-1.478183566,4.45E-12,FAM155B
ENSG00000268350,-0.309870356,0.287281115,FAM156A
ENSG00000164142,1.575454963,1.80E-08,FAM160A1
ENSG00000051009,-0.074943641,0.55948021,FAM160A2
ENSG00000151553,-0.305474487,0.007884238,FAM160B1
ENSG00000158863,-0.060537665,0.634796325,FAM160B2
ENSG00000170264,-0.840844174,1.31E-07,FAM161A
ENSG00000156050,-0.150484117,0.200542645,FAM161B
ENSG00000114023,0.771410619,2.13E-10,FAM162A
ENSG00000196990,-1.256546258,0.000374537,FAM163B
ENSG00000154319,0.574258426,1.69E-05,FAM167A
ENSG00000054965,-0.507922204,8.02E-06,FAM168A
ENSG00000152102,-0.007782918,0.954296871,FAM168B
ENSG00000198780,-0.260475033,0.032221895,FAM169A
ENSG00000148468,-0.213289135,0.067867417,FAM171A1
ENSG00000161682,-0.568215339,8.60E-07,FAM171A2
ENSG00000144369,-1.583715795,2.80E-25,FAM171B
ENSG00000113391,0.003975759,0.974834212,FAM172A
ENSG00000174132,0.362963949,0.036292006,FAM174A
ENSG00000185442,-1.245319866,7.41E-10,FAM174B
ENSG00000228300,0.565726649,0.002547488,FAM174C
ENSG00000151327,0.274097481,0.017511081,FAM177A1
ENSG00000140067,1.042924603,4.56E-06,FAM181A
ENSG00000182103,-2.031884532,9.51E-56,FAM181B
ENSG00000186973,0.912581613,0.002002544,FAM183A
ENSG00000111879,0.831427344,2.10E-11,FAM184A
ENSG00000047662,-0.256062768,0.388070557,FAM184B
ENSG00000222011,0.253609425,0.184993091,FAM185A
ENSG00000104059,-1.102637235,2.58E-08,FAM189A1
ENSG00000135063,0.147082455,0.452828267,FAM189A2
ENSG00000160767,-0.495027962,0.00789545,FAM189B
ENSG00000125386,-0.401856667,0.001560881,FAM193A
ENSG00000146067,-0.120560168,0.319454242,FAM193B
ENSG00000123575,0.438654813,0.000342774,FAM199X
ENSG00000221909,0.082618093,0.537667887,FAM200A
ENSG00000237765,0.552213099,2.77E-06,FAM200B
ENSG00000165669,-0.271827675,0.012454059,FAM204A
ENSG00000160256,0.47459736,0.004953357,FAM207A
ENSG00000116199,0.031754898,0.790178633,FAM20B
ENSG00000177706,-0.791721225,5.38E-13,FAM20C
ENSG00000177150,0.092275174,0.560659453,FAM210A
ENSG00000124098,2.05737505,6.49E-62,FAM210B
ENSG00000047346,-0.372103214,0.002359598,FAM214A
ENSG00000005238,-0.037183935,0.769031656,FAM214B
ENSG00000204856,-0.281994661,0.076465294,FAM216A
ENSG00000179813,3.689596535,1.31E-29,FAM216B
ENSG00000196227,-0.738468266,1.51E-09,FAM217B
ENSG00000250486,11.17676331,2.31E-106,FAM218A
ENSG00000164970,-0.720600857,8.35E-12,FAM219A
ENSG00000178761,0.243975864,0.034171932,FAM219B
ENSG00000188732,-0.23954145,0.098490058,FAM221A
ENSG00000139438,-1.750676479,9.70E-19,FAM222A
ENSG00000173065,-0.431520171,0.00621537,FAM222B
ENSG00000184949,0.209704928,0.105320226,FAM227A
ENSG00000166262,1.066845049,4.02E-08,FAM227B
ENSG00000186453,-0.302218868,0.261243839,FAM228A
ENSG00000219626,-0.213730878,0.235010946,FAM228B
ENSG00000225828,0.034117141,0.889310835,FAM229A
ENSG00000203778,0.39718564,0.000359096,FAM229B
ENSG00000167930,0.919285098,3.88E-08,FAM234A
ENSG00000084444,-0.263725687,0.021488144,FAM234B
ENSG00000174749,-0.403996836,0.16181017,FAM241A
ENSG00000171224,-1.796838609,5.14E-14,FAM241B
ENSG00000105058,0.118955487,0.300246036,FAM32A
ENSG00000071889,0.379246262,0.007578086,FAM3A
ENSG00000196937,-0.337268833,0.011658572,FAM3C
ENSG00000185112,2.129760229,1.24E-18,FAM43A
ENSG00000183114,-0.103876576,0.670251061,FAM43B
ENSG00000189157,0.441930381,0.044328307,FAM47E
ENSG00000197872,-0.596386923,9.38E-05,FAM49A
ENSG00000153310,-0.306326464,0.004954928,FAM49B
ENSG00000071859,0.170783352,0.178820279,FAM50A
ENSG00000174137,0.084810761,0.795397391,FAM53A
ENSG00000189319,-0.676072558,1.95E-11,FAM53B
ENSG00000120709,0.388945038,0.00080778,FAM53C
ENSG00000142530,-1.137032665,3.38E-05,FAM71E1
ENSG00000135248,-0.360669045,0.252982034,FAM71F1
ENSG00000205085,-0.470165311,0.020488438,FAM71F2
ENSG00000196550,-1.093111566,4.19E-05,FAM72A
ENSG00000188610,-0.899340432,0.000424868,FAM72B
ENSG00000009780,0.522848987,5.93E-06,FAM76A
ENSG00000077458,-0.261404464,0.052585117,FAM76B
ENSG00000126882,0.224248287,0.387418819,FAM78A
ENSG00000188859,-1.371506954,2.00E-14,FAM78B
ENSG00000157470,-0.217589804,0.247585071,FAM81A
ENSG00000153347,1.660766704,8.45E-09,FAM81B
ENSG00000101447,-0.74593225,3.22E-07,FAM83D
ENSG00000188522,-1.099003744,0.001562957,FAM83G
ENSG00000180921,-2.167179322,4.22E-18,FAM83H
ENSG00000186523,0.97690611,7.87E-07,FAM86B1
ENSG00000158483,0.402019428,0.04079517,FAM86C1
ENSG00000182118,0.942771716,4.20E-13,FAM89A
