Ensembl,logFC,FDR,SYMBOL
ENSG00000120437,-0.417110171,0.003417708,ACAT2
ENSG00000182827,0.177476982,0.107339381,ACBD3
ENSG00000181513,0.804732504,2.86E-06,ACBD4
ENSG00000107897,0.116299815,0.303047748,ACBD5
ENSG00000230124,-0.315120007,0.003487636,ACBD6
ENSG00000176244,-0.611059839,1.52E-08,ACBD7
ENSG00000110455,-0.628110904,0.017469527,ACCS
ENSG00000102977,-0.155214544,0.194127311,ACD
ENSG00000177076,-0.358652597,0.044765174,ACER2
ENSG00000078124,0.647893445,1.27E-08,ACER3
ENSG00000087085,-0.844137836,2.28E-05,ACHE
ENSG00000100813,-0.413549988,0.001149544,ACIN1
ENSG00000213088,0.660595262,0.002340457,ACKR1
ENSG00000144476,-1.886662843,4.97E-30,ACKR3
ENSG00000131473,-0.219976078,0.09949271,ACLY
ENSG00000122729,0.465901073,0.000141268,ACO1
ENSG00000100412,0.359819192,0.010183863,ACO2
ENSG00000162390,1.760418228,2.57E-11,ACOT11
ENSG00000172497,-1.639402982,1.67E-08,ACOT12
ENSG00000112304,0.779456459,6.89E-12,ACOT13
ENSG00000119673,-0.558741843,0.028514399,ACOT2
ENSG00000097021,-0.236929095,0.169976876,ACOT7
ENSG00000101473,-0.088578584,0.507560458,ACOT8
ENSG00000123130,1.163397608,6.71E-21,ACOT9
ENSG00000161533,0.371755501,0.000782154,ACOX1
ENSG00000168306,1.350278932,1.13E-07,ACOX2
ENSG00000087008,0.218847404,0.107933026,ACOX3
ENSG00000143727,0.035362503,0.769031656,ACP1
ENSG00000162836,0.944674059,6.15E-09,ACP6
ENSG00000111644,0.433726996,0.158075166,ACRBP
ENSG00000103740,-1.186062361,1.13E-05,ACSBG1
ENSG00000167107,1.173776445,6.32E-12,ACSF2
ENSG00000176715,-0.105294581,0.394826289,ACSF3
ENSG00000151726,-0.277781751,0.037616023,ACSL1
ENSG00000123983,0.125401154,0.330062927,ACSL3
ENSG00000068366,-0.321427185,0.009422308,ACSL4
ENSG00000164398,-0.535160528,0.006673769,ACSL6
ENSG00000154930,-5.161108711,1.17E-46,ACSS1
ENSG00000131069,0.623544053,6.84E-08,ACSS2
ENSG00000111058,1.429625324,2.99E-15,ACSS3
ENSG00000107796,3.567440519,3.64E-20,ACTA2
ENSG00000075624,-0.391392791,0.004669097,ACTB
ENSG00000184009,-0.683622509,1.43E-06,ACTG1
ENSG00000163017,2.810734818,3.05E-24,ACTG2
ENSG00000136518,-0.094305959,0.452828267,ACTL6A
ENSG00000077080,-1.476416271,1.76E-13,ACTL6B
ENSG00000072110,0.724408734,4.40E-07,ACTN1
ENSG00000077522,-1.46342626,3.48E-09,ACTN2
ENSG00000130402,-0.10114149,0.472839399,ACTN4
ENSG00000131966,0.124183871,0.316695338,ACTR10
ENSG00000138107,-0.278111913,0.01208689,ACTR1A
ENSG00000115073,0.11703409,0.341178477,ACTR1B
ENSG00000138071,-0.192699583,0.299441829,ACTR2
ENSG00000115091,0.07210538,0.556152002,ACTR3
ENSG00000133627,-1.099073358,1.75E-13,ACTR3B
ENSG00000101442,-0.364360438,0.018353132,ACTR5
ENSG00000075089,0.158290672,0.18841507,ACTR6
ENSG00000113812,0.048388632,0.673751176,ACTR8
ENSG00000115170,0.136996715,0.497664082,ACVR1
ENSG00000135503,-0.84912117,4.17E-10,ACVR1B
ENSG00000123612,-1.164915853,2.77E-05,ACVR1C
ENSG00000121989,-1.178725558,3.06E-11,ACVR2A
ENSG00000114739,-0.769398963,3.84E-05,ACVR2B
ENSG00000119640,-0.564164863,0.00053551,ACYP1
ENSG00000170634,0.509864378,0.000209584,ACYP2
ENSG00000196839,0.9079083,6.22E-05,ADA
ENSG00000168803,0.172450102,0.159124185,ADAL
ENSG00000137845,-0.100016263,0.509433212,ADAM10
ENSG00000073670,-0.36029966,0.04612821,ADAM11
ENSG00000148848,0.682856242,0.000543349,ADAM12
ENSG00000143537,0.580353458,2.98E-07,ADAM15
ENSG00000151694,0.824051651,3.73E-12,ADAM17
ENSG00000135074,0.190513593,0.245700808,ADAM19
ENSG00000134007,-0.106586603,0.664888344,ADAM20
ENSG00000139985,1.866923318,4.90E-12,ADAM21
ENSG00000008277,-1.053310099,2.99E-13,ADAM22
ENSG00000114948,-0.636854133,1.84E-05,ADAM23
ENSG00000197140,1.099125897,1.04E-09,ADAM32
ENSG00000151651,0.159586506,0.500005132,ADAM8
ENSG00000168615,1.766255415,2.72E-26,ADAM9
ENSG00000154734,1.144167688,1.51E-05,ADAMTS1
ENSG00000142303,-0.476185695,5.45E-05,ADAMTS10
ENSG00000151388,2.69738658,9.15E-66,ADAMTS12
ENSG00000160323,0.187717415,0.32900627,ADAMTS13
ENSG00000138316,5.311725875,9.50E-40,ADAMTS14
ENSG00000166106,0.671209499,0.002270955,ADAMTS15
ENSG00000145536,1.909117746,2.02E-12,ADAMTS16
