Gene,NDC,DSIPS,THO3B,THO3F
ENSG00000237058,0,7,1,0
ENSG00000215912,218,222,163,154
ENSG00000233234,0,0,0,0
ENSG00000231630,0,0,0,0
ENSG00000169717,0,2,1,0
ENSG00000177133,506,343,761,252
ENSG00000256761,0,0,0,0
ENSG00000142611,2075,1056,1346,584
ENSG00000226286,11,3,0,2
ENSG00000272235,20,22,27,18
ENSG00000130762,256,269,405,390
ENSG00000272088,20,9,11,10
ENSG00000162591,3668,1978,4100,2161
ENSG00000207776,3,0,1,0
ENSG00000238260,12,27,16,18
ENSG00000158109,829,729,919,878
ENSG00000116213,1951,1176,1712,1437
ENSG00000078900,229,357,879,131
ENSG00000227589,0,4,2,0
ENSG00000235131,0,1,1,2
ENSG00000227372,3133,2236,3601,2880
ENSG00000162592,43,23,35,30
ENSG00000235169,46,36,70,34
ENSG00000130764,3543,2358,3427,3001
ENSG00000266075,28,8,10,20
ENSG00000272153,63,32,45,64
ENSG00000116198,1705,1563,1969,1553
ENSG00000169598,701,327,505,477
ENSG00000264428,0,0,0,0
ENSG00000198912,1606,1148,1310,1207
ENSG00000236423,3,2,6,5
ENSG00000233304,0,2,3,0
ENSG00000226374,0,0,0,1
ENSG00000229280,0,0,1,0
ENSG00000235054,0,0,2,0
ENSG00000227169,0,0,0,0
ENSG00000232596,0,0,0,0
ENSG00000196581,1175,166,595,71
ENSG00000231510,0,0,0,0
ENSG00000260972,5,0,0,0
ENSG00000264341,0,0,0,0
ENSG00000236948,0,0,0,0
ENSG00000216045,0,0,0,0
ENSG00000264101,1,1,0,0
ENSG00000131697,2535,1468,1950,1953
ENSG00000266687,0,0,1,3
ENSG00000069424,1686,1280,1802,1433
ENSG00000268332,0,0,0,0
ENSG00000116254,2474,632,1908,945
ENSG00000116251,7186,5723,5435,5692
ENSG00000226944,12,5,8,5
ENSG00000158286,296,96,198,186
ENSG00000116237,3412,2433,3027,2488
ENSG00000225077,2,4,10,13
ENSG00000173673,9,12,12,14
ENSG00000158292,3650,2713,4151,3622
ENSG00000097021,2134,1576,2253,1879
ENSG00000271746,0,0,0,0
ENSG00000069812,55,91,9,22
ENSG00000187017,21,535,39,16
ENSG00000265392,0,2,0,0
ENSG00000231868,0,14,0,1
ENSG00000215788,1809,1318,1748,871
ENSG00000171680,7381,5213,7493,3840
ENSG00000162408,2757,1799,2338,2137
ENSG00000253022,2,3,8,2
ENSG00000229519,15,16,37,22
ENSG00000173662,48,55,55,67
ENSG00000204859,1424,1253,1474,1216
ENSG00000162413,1329,921,1062,951
ENSG00000116273,2601,1786,1886,1703
ENSG00000041988,1557,1262,1405,1204
ENSG00000007923,1896,1383,1497,1638
ENSG00000228750,0,0,0,1
ENSG00000239166,0,0,0,0
ENSG00000237436,48,45,20,23
ENSG00000171735,6329,5074,7587,6293
ENSG00000227950,9,8,9,13
ENSG00000237365,6,5,6,1
ENSG00000207056,1,0,0,1
ENSG00000237402,20,18,18,25
ENSG00000237728,4,6,4,13
ENSG00000225126,3,3,0,3
ENSG00000270171,186,379,235,226
ENSG00000270035,82,78,151,89
ENSG00000269978,93,98,143,122
ENSG00000049245,1461,1408,1774,1106
ENSG00000269925,16,23,31,29
ENSG00000049246,1250,682,1285,584
ENSG00000236266,6,9,12,5
ENSG00000049247,0,0,0,0
ENSG00000049249,3,13,8,1
ENSG00000270330,1,2,0,0
ENSG00000116288,5615,4103,5460,4612
ENSG00000200344,3,3,2,6
ENSG00000116285,1311,1305,1685,1125
ENSG00000238290,16,15,10,7
ENSG00000232848,6,0,3,1
ENSG00000229305,0,0,0,0
ENSG00000200975,0,0,0,0
ENSG00000227634,0,0,0,1
ENSG00000233645,0,3,0,0
ENSG00000265414,0,0,0,0
ENSG00000251977,0,0,0,0
ENSG00000162426,409,179,455,351
ENSG00000252254,0,0,0,1
ENSG00000142599,9291,6967,9615,8106
ENSG00000232912,21,21,25,18
ENSG00000221083,1,4,5,2
ENSG00000270282,3,6,4,6
ENSG00000234619,7,5,12,11
ENSG00000224315,17,13,17,23
ENSG00000222511,1,5,2,9
ENSG00000226545,18,18,17,11
ENSG00000228423,18,31,26,19
ENSG00000229716,0,0,1,0
ENSG00000074800,97906,75802,86790,90167
ENSG00000236269,41,37,15,40
ENSG00000230679,9,11,11,12
ENSG00000201725,0,0,0,0
ENSG00000238249,0,1,0,0
ENSG00000232208,0,0,0,0
ENSG00000232663,0,0,0,1
ENSG00000131686,0,0,0,0
ENSG00000265141,2,6,13,2
ENSG00000197241,0,0,0,0
ENSG00000142583,22,8,31,20
ENSG00000252404,0,0,0,0
ENSG00000180758,358,256,189,212
ENSG00000207865,6,6,2,5
ENSG00000228526,24,18,20,10
ENSG00000234546,78,86,95,84
ENSG00000049239,4828,3949,4222,3714
ENSG00000252841,0,1,1,0
ENSG00000171621,278,233,277,328
ENSG00000252956,0,0,0,0
ENSG00000235263,0,1,0,0
ENSG00000171612,324,336,298,287
ENSG00000231181,17,17,7,4
ENSG00000188807,1617,821,1171,921
ENSG00000171608,1523,935,1634,1163
ENSG00000179840,0,1,0,0
ENSG00000233268,0,0,0,1
ENSG00000231789,138,123,223,109
ENSG00000171603,18436,13386,19571,13795
ENSG00000271264,3,1,0,2
ENSG00000178585,3185,2390,3423,2845
ENSG00000223989,0,0,0,0
ENSG00000162441,3381,2631,3046,2892
ENSG00000228150,12,35,19,13
ENSG00000173614,690,656,855,582
ENSG00000202415,20,33,20,12
ENSG00000265521,0,0,1,0
ENSG00000241326,0,0,0,0
ENSG00000162444,4,4,6,0
ENSG00000225786,0,0,0,0
ENSG00000130939,6422,5586,5807,5912
ENSG00000224340,2,0,0,3
ENSG00000233623,9,6,4,1
ENSG00000201746,7,1,1,3
ENSG00000054523,46881,35800,42732,47138
ENSG00000264881,0,2,3,1
ENSG00000199562,0,7,2,6
ENSG00000264501,0,0,0,0
ENSG00000265945,35,24,13,36
ENSG00000142657,10917,9737,11987,10513
ENSG00000271989,1,6,5,5
ENSG00000175279,122,113,152,146
ENSG00000251503,0,0,0,0
ENSG00000241563,52,36,66,26
ENSG00000160049,4590,3943,4470,4072
ENSG00000203469,0,0,0,0
ENSG00000142655,1431,1150,1416,1125
ENSG00000243267,2,2,4,3
ENSG00000130940,665,890,869,497
ENSG00000272078,73,123,96,58
ENSG00000225158,0,1,0,0
ENSG00000175262,5,4,1,0
ENSG00000215785,0,0,1,1
ENSG00000264181,0,0,0,0
ENSG00000207213,0,0,0,0
ENSG00000120948,5925,4556,5014,5160
ENSG00000009724,473,388,435,385
ENSG00000271895,277,203,229,202
ENSG00000116649,1788,1234,1578,1263
ENSG00000171824,4278,2848,3375,3460
